id,name,mascot,conference
52,Florida State,Seminoles,ACC
59,Georgia Tech,Yellow Jackets,ACC
97,Louisville,Cardinals,ACC
103,Boston College,Eagles,ACC
150,Duke,Blue Devils,ACC
152,NC State,Wolfpack,ACC
153,North Carolina,Tar Heels,ACC
154,Wake Forest,Demon Deacons,ACC
183,Syracuse,Orange,ACC
221,Pittsburgh,Panthers,ACC
228,Clemson,Tigers,ACC
258,Virginia,Cavaliers,ACC
259,Virginia Tech,Hokies,ACC
2390,Miami,Hurricanes,ACC
5,UAB,Blazers,American Athletic
58,South Florida,Bulls,American Athletic
151,East Carolina,Pirates,American Athletic
202,Tulsa,Golden Hurricane,American Athletic
218,Temple,Owls,American Athletic
235,Memphis,Tigers,American Athletic
242,Rice,Owls,American Athletic
249,North Texas,Mean Green,American Athletic
2226,Florida Atlantic,Owls,American Athletic
2426,Navy,Midshipmen,American Athletic
2429,Charlotte,49ers,American Athletic
2567,SMU,Mustangs,American Athletic
2636,UT San Antonio,Roadrunners,American Athletic
2655,Tulane,Green Wave,American Athletic
66,Iowa State,Cyclones,Big 12
197,Oklahoma State,Cowboys,Big 12
201,Oklahoma,Sooners,Big 12
239,Baylor,Bears,Big 12
248,Houston,Cougars,Big 12
251,Texas,Longhorns,Big 12
252,BYU,Cougars,Big 12
277,West Virginia,Mountaineers,Big 12
2116,UCF,Knights,Big 12
2132,Cincinnati,Bearcats,Big 12
2305,Kansas,Jayhawks,Big 12
2306,Kansas State,Wildcats,Big 12
2628,TCU,Horned Frogs,Big 12
2641,Texas Tech,Red Raiders,Big 12
77,Northwestern,Wildcats,Big Ten
84,Indiana,Hoosiers,Big Ten
120,Maryland,Terrapins,Big Ten
127,Michigan State,Spartans,Big Ten
130,Michigan,Wolverines,Big Ten
135,Minnesota,Golden Gophers,Big Ten
158,Nebraska,Cornhuskers,Big Ten
164,Rutgers,Scarlet Knights,Big Ten
194,Ohio State,Buckeyes,Big Ten
213,Penn State,Nittany Lions,Big Ten
275,Wisconsin,Badgers,Big Ten
356,Illinois,Fighting Illini,Big Ten
2294,Iowa,Hawkeyes,Big Ten
2509,Purdue,Boilermakers,Big Ten
55,Jacksonville State,Gamecocks,Conference USA
98,Western Kentucky,Hilltoppers,Conference USA
166,New Mexico State,Aggies,Conference USA
2229,Florida International,Golden Panthers,Conference USA
2335,Liberty,Flames,Conference USA
2348,Louisiana Tech,Bulldogs,Conference USA
2393,Middle Tennessee,Blue Raiders,Conference USA
2534,Sam Houston State,Bearkats,Conference USA
2638,UTEP,Miners,Conference USA
41,Connecticut,Huskies,FBS Independents
87,Notre Dame,Fighting Irish,FBS Independents
113,UMass,Minutemen,FBS Independents
349,Army,Black Knights,FBS Independents
189,Bowling Green,Falcons,Mid American
193,Miami (OH),RedHawks,Mid American
195,Ohio,Bobcats,Mid American
2006,Akron,Zips,Mid American
2050,Ball State,Cardinals,Mid American
2084,Buffalo,Bulls,Mid American
2117,Central Michigan,Chippewas,Mid American
2199,Eastern Michigan,Eagles,Mid American
2309,Kent State,Golden Flashes,Mid American
2459,Northern Illinois,Huskies,Mid American
2649,Toledo,Rockets,Mid American
2711,Western Michigan,Broncos,Mid American
21,San Diego State,Aztecs,Mountain West
23,San Jose State,Spartans,Mountain West
36,Colorado State,Rams,Mountain West
62,Hawaii,Rainbow Warriors,Mountain West
68,Boise State,Broncos,Mountain West
167,New Mexico,Lobos,Mountain West
278,Fresno State,Bulldogs,Mountain West
328,Utah State,Aggies,Mountain West
2005,Air Force,Falcons,Mountain West
2439,UNLV,Rebels,Mountain West
2440,Nevada,Wolf Pack,Mountain West
2751,Wyoming,Cowboys,Mountain West
9,Arizona State,Sun Devils,Pac 12
12,Arizona,Wildcats,Pac 12
24,Stanford,Cardinal,Pac 12
25,California,Golden Bears,Pac 12
26,UCLA,Bruins,Pac 12
30,USC,Trojans,Pac 12
38,Colorado,Buffaloes,Pac 12
204,Oregon State,Beavers,Pac 12
254,Utah,Utes,Pac 12
264,Washington,Huskies,Pac 12
265,Washington State,Cougars,Pac 12
2483,Oregon,Ducks,Pac 12
2,Auburn,Tigers,SEC
8,Arkansas,Razorbacks,SEC
57,Florida,Gators,SEC
61,Georgia,Bulldogs,SEC
96,Kentucky,Wildcats,SEC
99,LSU,Tigers,SEC
142,Missouri,Tigers,SEC
145,Ole Miss,Rebels,SEC
238,Vanderbilt,Commodores,SEC
245,Texas A&M,Aggies,SEC
333,Alabama,Crimson Tide,SEC
344,Mississippi State,Bulldogs,SEC
2579,South Carolina,Gamecocks,SEC
2633,Tennessee,Volunteers,SEC
6,South Alabama,Jaguars,Sun Belt
256,James Madison,Dukes,Sun Belt
276,Marshall,Thundering Herd,Sun Belt
290,Georgia Southern,Eagles,Sun Belt
295,Old Dominion,Monarchs,Sun Belt
309,Louisiana,Ragin' Cajuns,Sun Belt
324,Coastal Carolina,Chanticleers,Sun Belt
326,Texas State,Bobcats,Sun Belt
2026,Appalachian State,Mountaineers,Sun Belt
2032,Arkansas State,Red Wolves,Sun Belt
2247,Georgia State,Panthers,Sun Belt
2433,Louisiana Monroe,Warhawks,Sun Belt
2572,Southern Mississippi,Golden Eagles,Sun Belt
2653,Troy,Trojans,Sun Belt
